firm_url,firm_name,review_url,review_title,note,reponse,author_name,author_url,author_localisation,review_date,experience_date
egcu.org,Evergreen Credit Union,/reviews/5f5a3cc702e8570af01ea9f4,Best experience we have ever had…,5,True,Gary B.,/users/5f5a3cc66c4e5be877b3295c,US,2020-09-10T14:48:39.000Z,"September 10, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f596a2c02e8570650b5d6eb,Called for help with older statement…,5,True,customer,/users/5f596a2b6c4e5b6151b2a8d8,US,2020-09-09T23:50:04.000Z,"September 09, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f5913ab02e8570becb20876,I was trying to get a new atv and they…,5,True,Jamie,/users/5f5913aa6c4e5b6824b27e63,US,2020-09-09T17:40:59.000Z,"September 09, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f52beb302e85708c8e039e3,"I got my new credit card with no,hassle…",5,True,Carolyn Jones ,/users/5f52beb336c975aec25bf4bf,US,2020-09-04T22:24:51.000Z,"September 04, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f52a5fc02e85708140044a0,My customer services was fantastic,5,True,customer,/users/5f52a5fc1884c613fe6c17f3,US,2020-09-04T20:39:24.000Z,"September 04, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f527ebc02e857081400310e,Shelby Oakes is a fantastic member…,5,True,Leslie,/users/569e49830000ff0001fdbf87,US,2020-09-04T17:52:42.000Z,"September 04, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f4fe38c02e85708c8de7447,Long time customer,5,True,customer,/users/5f4fe38b0996c321fabfecc6,US,2020-09-02T18:25:16.000Z,"September 02, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f2dc9961a5a6902684552e3,I really don’t see that you have to…,5,True,Cecile,/users/5f2dc995a9d3b2856152bcbe,US,2020-08-07T21:37:26.000Z,"August 07, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f25479c1a5a6907a47843ab,I have found this credit union to be…,5,True,Karl,/users/5f25479cf29c0acb1425112c,US,2020-08-01T10:44:44.000Z,"August 01, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f2471ec1a5a690a041cdb96,I have been a credit union member since 1970s…,5,True,STEPHEN SHAW,/users/580bb4cb0000ff000a5011bd,US,2020-07-31T19:33:00.000Z,"July 31, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f24695e1a5a690a041cd633,Doing business with evergreen is always…,5,True,Jeffrey,/users/5f24695ec2b593085204a218,US,2020-07-31T18:56:30.000Z,"July 31, 2020"
egcu.org,Evergreen Credit Union,/reviews/5f2458dd1a5a6907a477e4da,I joined ECU when I lived in Maine,5,True,Christopher,/users/5f2458ddc2b593205a049930,US,2020-07-31T17:46:05.000Z,"July 31, 2020"
